-13.2537,0.0615082,-8.20207,175.226
-13.369,0.0208013,-7.93074,175.914
-13.3704,-0.0756384,-7.97031,176.229
-13.3169,-0.0165937,-8.06246,175.651
-13.3117,-0.00475244,-8.08158,175.54
-13.2906,-0.00858908,-8.12129,175.564
-13.3109,-0.0201318,-8.11018,175.447
-13.3094,0.0312544,-8.12076,175.216
-13.2937,0.0148032,-8.14972,175.192
-13.2959,0.0368125,-8.15837,175.036
-13.2899,0.0368432,-8.18176,175.037
-13.2731,0.0451572,-8.2132,174.921
-13.2906,0.0327207,-8.2011,175.002
-13.2808,0.0536104,-8.22488,174.868
-13.2696,0.0543073,-8.25583,174.774
-13.255,0.0789201,-8.28629,174.483
-13.2502,0.0668329,-8.30213,174.475
-13.2529,0.0951253,-8.31081,174.256
-13.2354,0.0932288,-8.33949,174.239
-13.1776,0.135749,-8.42195,173.874
-13.171,0.147333,-8.44665,173.674
-13.1867,0.146994,-8.4307,173.662
-13.1808,0.155949,-8.45949,173.634
-13.1689,0.147858,-8.4892,173.535
-13.157,0.139393,-8.51676,173.552
-13.1672,0.170581,-8.51635,173.354
-13.1808,0.145464,-8.51183,173.446
-13.1719,0.14534,-8.53333,173.436
-13.1785,0.16092,-8.53818,173.366
-13.1684,0.163591,-8.56266,173.312
-13.1825,0.158855,-8.56025,173.382
-13.183,0.173299,-8.56951,173.252
-13.1851,0.159881,-8.57804,173.333
-13.1992,0.154007,-8.57309,173.369
-13.1961,0.142266,-8.58393,173.442
-13.1957,0.148193,-8.59837,173.373
-13.2059,0.15534,-8.59,173.311
-13.2045,0.16084,-8.6025,173.248
-13.2131,0.138542,-8.60116,173.502
-13.2186,0.172094,-8.60306,173.119
-13.2072,0.165644,-8.63619,173.131
-13.2049,0.170495,-8.65571,173.084
-13.2408,0.185538,-8.62809,172.968
-13.2228,0.194483,-8.6592,172.878
-13.2497,0.208417,-8.64592,172.816
-13.248,0.193511,-8.66019,172.826
-13.2768,0.186889,-8.63628,172.99
-13.2831,0.17866,-8.64471,173.079
